====SECTION Data by ID====
[0x00000000]: (482 entries)
	(data/rev_up_down.csv)                            	?
		FF FF FF FF FF F5
	(data/rev_up_down.csv)                            	633.0ms
		64 15 19 F0 04 19 51 0E
	(data/rev_up_down.csv)                            	1.235s
		5D FF FF F3 FF FF FF FF
	(data/rev_up_down.csv)                            	1.473s
		64 15 13 F0 D0 18 6F 0F
	(data/rev_up_down.csv)                            	1.613s
		64 15 1A F0 ED 18 85 0F
	(data/rev_up_down.csv)                            	1.635s
		1F 36 1F FF FF FF
	(data/rev_up_down.csv)                            	2.493s
		64 15 16 F0 0C 19 7E 11
	(data/rev_up_down.csv)                            	?
		15 01
	(data/rev_up_down.csv)                            	2.754s
		5D FF FF F3 FF FF FF FF
	(data/rev_up_down.csv)                            	2.914s
		30 24 30 24 FF FF FF
	(data/rev_up_down.csv)                            	3.193s
		64 15 19 F0 13 19 B2 12
	(data/rev_up_down.csv)                            	3.234s
		5D FF FF F3 FF FF FF FF
	(data/rev_up_down.csv)                            	3.593s
		64 15 1D F0 13 19 77 13
	(data/rev_up_down.csv)                            	3.714s
		64 15 13 F0 E2 18 B9 13
	(data/rev_up_down.csv)                            	4.053s
		64 15 14 F0 FA 18 53 14
	(data/rev_up_down.csv)                            	4.093s
		64 15 16 F0 FF 18 69 14
	(data/rev_up_down.csv)                            	4.114s
		28 FF FF FF
	(data/rev_up_down.csv)                            	4.433s
		64 15 17 F0 F0 18 2F 15
	(data/rev_up_down.csv)                            	4.533s
		64 15 1C F0 FF 18 71 15
	(data/rev_up_down.csv)                            	?
		FF FF FD FF FF FF FF FF
	(data/rev_up_down.csv)                            	4.876s
		20 61 0F FF FF FF FF
	(data/rev_up_down.csv)                            	5.436s
		B0 2F B0 2F FF FF FF
	(data/rev_up_down.csv)                            	5.674s
		30 FF FF FF
	(data/rev_up_down.csv)                            	5.753s
		64 15 19 F0 7D 19 5C 18
	(data/rev_up_down.csv)                            	5.853s
		64 15 1E F0 37 19 88 18
	(data/rev_up_down.csv)                            	6.156s
		32 FF FF FF
	(data/rev_up_down.csv)                            	6.173s
		64 15 1E F0 09 19 21 19
	(data/rev_up_down.csv)                            	6.194s
		32 FF FF FF
	(data/rev_up_down.csv)                            	6.274s
		32 FF FF FF
	(data/rev_up_down.csv)                            	6.593s
		64 15 13 F0 84 18 81 1A
	(data/rev_up_down.csv)                            	6.653s
		64 15 16 F0 DB 18 AD 1A
	(data/rev_up_down.csv)                            	6.674s
		35 FF FF FF
	(data/rev_up_down.csv)                            	6.693s
		64 15 18 F0 B0 18 C3 1A
	(data/rev_up_down.csv)                            	?
		FF FF FF
	(data/rev_up_down.csv)                            	6.973s
		64 15 16 F0 32 19 D9 1A
	(data/rev_up_down.csv)                            	7.093s
		64 15 1C F0 EF 18 D9 1A
	(data/rev_up_down.csv)                            	7.514s
		35 FF FF FF
	(data/rev_up_down.csv)                            	8.193s
		64 15 13 F0 07 19 55 1A
	(data/rev_up_down.csv)                            	8.234s
		5D FF FF F3 FF FF FF FF
	(data/rev_up_down.csv)                            	8.635s
		31 FF FF FF
	(data/rev_up_down.csv)                            	8.754s
		5D FF FF F3 FF FF FF FF
	(data/rev_up_down.csv)                            	?
		FF 00 FF FF FF
	(data/rev_up_down.csv)                            	9.033s
		64 15 1D F0 5B 19 3E 17
	(data/rev_up_down.csv)                            	9.154s
		64 15 13 F0 07 19 12 17
	(data/rev_up_down.csv)                            	9.213s
		64 15 16 F0 2F 19 FC 16
	(data/rev_up_down.csv)                            	9.453s
		64 15 12 F0 25 19 4C 16
	(data/rev_up_down.csv)                            	9.594s
		2A FF FF FF
	(data/rev_up_down.csv)                            	9.955s
		E0 24 E0 24 FF FF FF
	(data/rev_up_down.csv)                            	10.33s
		64 15 1E F0 ED 18 CE 10
	(data/hydraulics.csv)                             	223.5ms
		47 FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	581.8ms
		1D FF FF FF
	(data/hydraulics.csv)                             	621.6ms
		64 15 18 F0 C6 18 A9 0E
	(data/hydraulics.csv)                             	701.7ms
		64 15 1C F0 73 19 A9 0E
	(data/hydraulics.csv)                             	721.2ms
		64 15 1D F0 0B 19 A9 0E
	(data/hydraulics.csv)                             	941.6ms
		64 15 18 F0 73 19 93 0E
	(data/hydraulics.csv)                             	961.2ms
		64 15 19 F0 73 19 93 0E
	(data/hydraulics.csv)                             	1.041s
		64 15 1D F0 D0 18 A9 0E
	(data/hydraulics.csv)                             	1.081s
		64 15 1F F0 73 19 A9 0E
	(data/hydraulics.csv)                             	1.321s
		64 15 1B F0 11 19 93 0E
	(data/hydraulics.csv)                             	?
		5C 27 1D 27 1D FF FF FF
	(data/hydraulics.csv)                             	1.742s
		64 15 10 F0 0B 19 93 0E
	(data/hydraulics.csv)                             	1.761s
		64 15 11 F0 0B 19 A9 0E
	(data/hydraulics.csv)                             	1.841s
		64 15 15 F0 0B 19 A9 0E
	(data/hydraulics.csv)                             	2.102s
		64 15 12 F0 0B 19 93 0E
	(data/hydraulics.csv)                             	2.182s
		1D FF FF FF
	(data/hydraulics.csv)                             	2.422s
		FF FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	2.441s
		64 15 13 F0 73 19 A9 0E
	(data/hydraulics.csv)                             	2.481s
		64 15 15 F0 73 19 A9 0E
	(data/hydraulics.csv)                             	2.542s
		64 15 18 F0 73 19 A9 0E
	(data/hydraulics.csv)                             	2.841s
		64 15 17 F0 73 19 A9 0E
	(data/hydraulics.csv)                             	2.961s
		64 15 1D F0 07 19 93 0E
	(data/hydraulics.csv)                             	3.542s
		FF FF FF FF FF FF FF
	(data/hydraulics.csv)                             	3.582s
		1D FF FF FF
	(data/hydraulics.csv)                             	3.742s
		64 15 14 F0 2A 19 93 0E
	(data/hydraulics.csv)                             	4.022s
		64 15 12 F0 30 19 A9 0E
	(data/hydraulics.csv)                             	4.402s
		64 15 15 F0 CC 18 A9 0E
	(data/hydraulics.csv)                             	4.425s
		1D FF FF FF
	(data/hydraulics.csv)                             	4.462s
		1D FF FF FF
	(data/hydraulics.csv)                             	4.662s
		FF FF FF
	(data/hydraulics.csv)                             	4.721s
		64 15 15 F0 07 19 A9 0E
